,Rep,Line,BL,Chamber,Stress,Plant,GN
1,1,MTH,C,12,N,1,65
2,1,Hiline,D,12,N,1,81
3,1,Hiline,F,12,N,1,182
4,1,Vida,F,12,N,1,236
5,1,Berkut,H,12,N,1,96
6,1,MTH,H,12,N,1,251
7,1,Berkut,S,12,N,1,202
8,1,MTH,S,12,N,1,290
9,1,Vida,S,12,N,1,111
10,1,Berkut,C,14,N,1,64
11,1,Hiline,C,14,N,1,156
12,1,Vida,D,14,N,1,124
13,1,Berkut,F,14,N,1,187
14,1,MTH,F,14,N,1,10
15,1,Hiline,H,14,N,1,74
16,1,Vida,H,14,N,1,121
17,1,Hiline,S,14,N,1,15
18,1,Berkut,C,12,Y,1,0
19,1,Hiline,C,12,Y,1,110
20,1,Vida,D,12,Y,1,152
21,1,Berkut,F,12,Y,1,36
22,1,MTH,F,12,Y,1,77
23,1,Hiline,H,12,Y,1,85
24,1,Vida,H,12,Y,1,52
25,1,Hiline,S,12,Y,1,15
26,1,MTH,C,14,Y,1,92
27,1,Vida,C,14,Y,1,170
28,1,Berkut,D,14,Y,1,13
29,1,Hiline,D,14,Y,1,13
30,1,Hiline,F,14,Y,1,99
31,1,Vida,F,14,Y,1,65
32,1,Berkut,H,14,Y,1,0
33,1,MTH,H,14,Y,1,28
34,1,Berkut,S,14,Y,1,1
35,1,MTH,S,14,Y,1,166
36,1,Vida,S,14,Y,1,37
37,1,MTH,C,12,N,2,110
38,1,Vida,C,12,N,2,253
39,1,Berkut,D,12,N,2,66
40,1,Hiline,D,12,N,2,56
41,1,Hiline,F,12,N,2,330
42,1,Berkut,H,12,N,2,160
43,1,MTH,H,12,N,2,90
44,1,Berkut,S,12,N,2,243
45,1,Vida,S,12,N,2,265
46,1,Berkut,C,14,N,2,140
47,1,Hiline,C,14,N,2,163
48,1,MTH,D,14,N,2,55
49,1,Vida,D,14,N,2,161
50,1,Berkut,F,14,N,2,195
51,1,MTH,F,14,N,2,206
52,1,Hiline,H,14,N,2,227
53,1,Vida,H,14,N,2,116
54,1,Hiline,S,14,N,2,140
55,1,Berkut,C,12,Y,2,0
56,1,Hiline,C,12,Y,2,128
57,1,MTH,D,12,Y,2,64
58,1,Vida,D,12,Y,2,83
59,1,Berkut,F,12,Y,2,63
60,1,MTH,F,12,Y,2,37
61,1,Hiline,H,12,Y,2,69
62,1,Vida,H,12,Y,2,89
63,1,MTH,C,14,Y,2,54
64,1,Vida,C,14,Y,2,136
65,1,Berkut,D,14,Y,2,9
66,1,Hiline,D,14,Y,2,47
67,1,Hiline,F,14,Y,2,79
68,1,Vida,F,14,Y,2,132
69,1,Berkut,H,14,Y,2,0
70,1,MTH,H,14,Y,2,162
71,1,Berkut,S,14,Y,2,113
72,1,Vida,S,14,Y,2,60
73,1,MTH,C,12,N,3,135
74,1,Vida,C,12,N,3,210
75,1,Berkut,D,12,N,3,393
76,1,Hiline,D,12,N,3,102
77,1,Hiline,F,12,N,3,172
78,1,Vida,F,12,N,3,199
79,1,MTH,H,12,N,3,114
80,1,MTH,S,12,N,3,342
81,1,Berkut,C,14,N,3,41
82,1,Hiline,C,14,N,3,66
83,1,MTH,D,14,N,3,198
84,1,Vida,D,14,N,3,165
85,1,Berkut,F,14,N,3,136
86,1,MTH,F,14,N,3,108
87,1,Hiline,H,14,N,3,162
88,1,Vida,H,14,N,3,229
89,1,Hiline,S,14,N,3,221
90,1,Berkut,C,12,Y,3,7
91,1,Hiline,C,12,Y,3,80
92,1,MTH,D,12,Y,3,44
93,1,Vida,D,12,Y,3,307
94,1,Berkut,F,12,Y,3,64
95,1,MTH,F,12,Y,3,30
96,1,Hiline,H,12,Y,3,57
97,1,Vida,H,12,Y,3,125
98,1,MTH,C,14,Y,3,82
99,1,Vida,C,14,Y,3,134
100,1,Berkut,D,14,Y,3,19
101,1,Hiline,D,14,Y,3,92
102,1,Hiline,F,14,Y,3,69
103,1,Vida,F,14,Y,3,138
104,1,Berkut,H,14,Y,3,11
105,1,MTH,H,14,Y,3,34
106,1,Berkut,S,14,Y,3,4
107,1,MTH,S,14,Y,3,103
108,1,Vida,S,14,Y,3,65
109,1,MTH,C,12,N,4,147
110,1,Vida,C,12,N,4,408
111,1,Berkut,D,12,N,4,130
112,1,Hiline,D,12,N,4,177
113,1,Vida,F,12,N,4,216
114,1,Berkut,H,12,N,4,332
115,1,MTH,H,12,N,4,123
116,1,Berkut,S,12,N,4,120
117,1,MTH,S,12,N,4,231
118,1,Berkut,C,14,N,4,417
119,1,Hiline,C,14,N,4,219
120,1,MTH,D,14,N,4,101
121,1,Vida,D,14,N,4,55
122,1,Berkut,F,14,N,4,146
123,1,MTH,F,14,N,4,130
124,1,Hiline,H,14,N,4,151
125,1,Vida,H,14,N,4,195
126,1,Berkut,C,12,Y,4,0
127,1,Hiline,C,12,Y,4,90
128,1,MTH,D,12,Y,4,50
129,1,Vida,D,12,Y,4,94
130,1,Berkut,F,12,Y,4,79
131,1,MTH,F,12,Y,4,12
132,1,Hiline,H,12,Y,4,89
133,1,Hiline,S,12,Y,4,221
134,1,MTH,C,14,Y,4,87
135,1,Berkut,D,14,Y,4,0
136,1,Hiline,D,14,Y,4,122
137,1,Hiline,F,14,Y,4,106
138,1,Vida,F,14,Y,4,152
139,1,Berkut,H,14,Y,4,5
140,1,MTH,H,14,Y,4,16
141,1,Berkut,S,14,Y,4,0
142,1,MTH,S,14,Y,4,183
143,1,Vida,S,14,Y,4,135
144,1,MTH,C,12,N,5,114
145,1,Vida,C,12,N,5,247
146,1,Berkut,D,12,N,5,140
147,1,Hiline,D,12,N,5,242
148,1,Hiline,F,12,N,5,279
149,1,Vida,F,12,N,5,218
150,1,Berkut,H,12,N,5,362
151,1,MTH,H,12,N,5,61
152,1,Berkut,S,12,N,5,250
153,1,Vida,S,12,N,5,410
154,1,MTH,D,14,N,5,122
155,1,Berkut,F,14,N,5,162
156,1,MTH,F,14,N,5,212
157,1,Hiline,H,14,N,5,43
158,1,Vida,H,14,N,5,128
159,1,Hiline,S,14,N,5,64
160,1,Berkut,C,12,Y,5,0
161,1,Hiline,C,12,Y,5,NA
162,1,MTH,D,12,Y,5,74
163,1,Berkut,F,12,Y,5,51
164,1,MTH,F,12,Y,5,86
165,1,Hiline,H,12,Y,5,108
166,1,Vida,H,12,Y,5,246
167,1,Hiline,S,12,Y,5,131
168,1,MTH,C,14,Y,5,1
169,1,Vida,C,14,Y,5,79
170,1,Berkut,D,14,Y,5,11
171,1,Hiline,D,14,Y,5,64
172,1,Hiline,F,14,Y,5,64
173,1,Vida,F,14,Y,5,228
174,1,Berkut,H,14,Y,5,4
175,1,Berkut,S,14,Y,5,0
176,1,Vida,S,14,Y,5,71
177,2,Berkut,C,12,N,1,157
178,2,Berkut,D,12,N,1,118
179,2,Hiline,D,12,N,1,138
180,2,Berkut,F,12,N,1,158
181,2,Hiline,F,12,N,1,140
182,2,Berkut,H,12,N,1,113
183,2,Hiline,H,12,N,1,209
184,2,Berkut,S,12,N,1,64
185,2,Hiline,S,12,N,1,198
186,2,MTH,C,14,N,1,67
187,2,Vida,C,14,N,1,202
188,2,MTH,D,14,N,1,26
189,2,Vida,D,14,N,1,115
190,2,MTH,F,14,N,1,30
191,2,Vida,F,14,N,1,126
192,2,MTH,H,14,N,1,39
193,2,Vida,H,14,N,1,184
194,2,MTH,S,14,N,1,21
195,2,Berkut,C,12,Y,1,6
196,2,Hiline,C,12,Y,1,40
197,2,Berkut,D,12,Y,1,131
198,2,Hiline,D,12,Y,1,147
199,2,Berkut,F,12,Y,1,0
200,2,Hiline,F,12,Y,1,73
201,2,Berkut,H,12,Y,1,119
202,2,Hiline,H,12,Y,1,67
203,2,Berkut,S,12,Y,1,38
204,2,MTH,C,14,Y,1,47
205,2,Vida,C,14,Y,1,132
206,2,MTH,D,14,Y,1,50
207,2,Vida,D,14,Y,1,33
208,2,MTH,F,14,Y,1,31
209,2,Vida,F,14,Y,1,28
210,2,MTH,H,14,Y,1,36
211,2,Vida,H,14,Y,1,36
212,2,MTH,S,14,Y,1,57
213,2,Vida,S,14,Y,1,36
214,2,Berkut,C,12,N,2,112
215,2,Berkut,D,12,N,2,65
216,2,Hiline,D,12,N,2,140
217,2,Berkut,F,12,N,2,237
218,2,Hiline,F,12,N,2,161
219,2,Berkut,H,12,N,2,76
220,2,Berkut,S,12,N,2,188
221,2,Hiline,S,12,N,2,83
222,2,MTH,C,14,N,2,45
223,2,MTH,D,14,N,2,59
224,2,Vida,D,14,N,2,78
225,2,MTH,F,14,N,2,60
226,2,Vida,F,14,N,2,213
227,2,MTH,H,14,N,2,42
228,2,Vida,H,14,N,2,196
229,2,MTH,S,14,N,2,125
230,2,Berkut,C,12,Y,2,37
231,2,Hiline,C,12,Y,2,101
232,2,Berkut,D,12,Y,2,0
233,2,Hiline,D,12,Y,2,84
234,2,Berkut,F,12,Y,2,0
235,2,Hiline,F,12,Y,2,79
236,2,Berkut,H,12,Y,2,42
237,2,Hiline,H,12,Y,2,91
238,2,Berkut,S,12,Y,2,138
239,2,MTH,C,14,Y,2,15
240,2,Vida,C,14,Y,2,163
241,2,MTH,D,14,Y,2,62
242,2,Vida,D,14,Y,2,53
243,2,MTH,F,14,Y,2,57
244,2,Vida,F,14,Y,2,149
245,2,Vida,H,14,Y,2,51
246,2,MTH,S,14,Y,2,26
247,2,Vida,S,14,Y,2,250
248,2,Berkut,C,12,N,3,125
249,2,Berkut,D,12,N,3,81
250,2,Hiline,D,12,N,3,57
251,2,Berkut,F,12,N,3,67
252,2,Hiline,F,12,N,3,93
253,2,Berkut,H,12,N,3,60
254,2,Hiline,H,12,N,3,146
255,2,Berkut,S,12,N,3,246
256,2,Hiline,S,12,N,3,169
257,2,MTH,C,14,N,3,41
258,2,Vida,C,14,N,3,248
259,2,MTH,D,14,N,3,70
260,2,Vida,D,14,N,3,114
261,2,MTH,F,14,N,3,28
262,2,Vida,F,14,N,3,150
263,2,MTH,H,14,N,3,59
264,2,Vida,H,14,N,3,153
265,2,Berkut,C,12,Y,3,162
266,2,Hiline,C,12,Y,3,323
267,2,Hiline,D,12,Y,3,97
268,2,Berkut,F,12,Y,3,68
269,2,Hiline,F,12,Y,3,87
270,2,Hiline,H,12,Y,3,59
271,2,Berkut,S,12,Y,3,105
272,2,MTH,C,14,Y,3,31
273,2,Vida,C,14,Y,3,72
274,2,MTH,D,14,Y,3,44
275,2,Vida,D,14,Y,3,132
276,2,MTH,F,14,Y,3,53
277,2,Vida,F,14,Y,3,116
278,2,MTH,H,14,Y,3,23
279,2,Vida,H,14,Y,3,189
280,2,MTH,S,14,Y,3,18
281,2,Berkut,C,12,N,4,50
282,2,Berkut,D,12,N,4,148
283,2,Hiline,D,12,N,4,222
284,2,Berkut,F,12,N,4,146
285,2,Hiline,F,12,N,4,78
286,2,Berkut,H,12,N,4,44
287,2,Hiline,H,12,N,4,194
288,2,Berkut,S,12,N,4,110
289,2,MTH,C,14,N,4,34
290,2,Vida,C,14,N,4,172
291,2,MTH,D,14,N,4,73
292,2,Vida,D,14,N,4,98
293,2,MTH,F,14,N,4,38
294,2,Vida,F,14,N,4,126
295,2,Vida,H,14,N,4,138
296,2,Vida,S,14,N,4,766
297,2,Berkut,C,12,Y,4,0
298,2,Hiline,C,12,Y,4,142
299,2,Berkut,D,12,Y,4,35
300,2,Hiline,D,12,Y,4,86
301,2,Berkut,F,12,Y,4,28
302,2,Hiline,F,12,Y,4,104
303,2,Berkut,H,12,Y,4,92
304,2,Hiline,H,12,Y,4,55
305,2,Berkut,S,12,Y,4,0
306,2,MTH,C,14,Y,4,86
307,2,Vida,C,14,Y,4,192
308,2,MTH,D,14,Y,4,27
309,2,Vida,D,14,Y,4,44
310,2,MTH,F,14,Y,4,6
311,2,Vida,F,14,Y,4,130
312,2,MTH,H,14,Y,4,68
313,2,Vida,H,14,Y,4,116
314,2,MTH,S,14,Y,4,63
315,2,Vida,S,14,Y,4,53
316,2,Berkut,C,12,N,5,3
317,2,Berkut,D,12,N,5,47
318,2,Hiline,D,12,N,5,80
319,2,Berkut,F,12,N,5,41
320,2,Hiline,F,12,N,5,158
321,2,Berkut,H,12,N,5,145
322,2,Hiline,H,12,N,5,160
323,2,Berkut,S,12,N,5,381
324,2,Hiline,S,12,N,5,247
325,2,MTH,C,14,N,5,40
326,2,Vida,C,14,N,5,117
327,2,Vida,D,14,N,5,89
328,2,MTH,F,14,N,5,44
329,2,Vida,F,14,N,5,181
330,2,MTH,H,14,N,5,38
331,2,Vida,H,14,N,5,138
332,2,MTH,S,14,N,5,46
333,2,Berkut,C,12,Y,5,17
334,2,Hiline,C,12,Y,5,194
335,2,Berkut,D,12,Y,5,133
336,2,Hiline,D,12,Y,5,107
337,2,Berkut,F,12,Y,5,166
338,2,Hiline,F,12,Y,5,85
339,2,Berkut,H,12,Y,5,124
340,2,Hiline,H,12,Y,5,91
341,2,Berkut,S,12,Y,5,0
342,2,MTH,C,14,Y,5,45
343,2,Vida,C,14,Y,5,75
344,2,MTH,D,14,Y,5,37
345,2,Vida,D,14,Y,5,76
346,2,MTH,F,14,Y,5,44
347,2,Vida,F,14,Y,5,155
348,2,MTH,H,14,Y,5,38
349,2,Vida,H,14,Y,5,261
350,2,Vida,S,14,Y,5,253
351,3,Hiline,C,12,N,1,89
352,3,Hiline,D,12,N,1,107
353,3,Hiline,F,12,N,1,210
354,3,Hiline,H,12,N,1,146
355,3,Hiline,S,12,N,1,23
356,3,MTH,C,14,N,1,93
357,3,Vida,C,14,N,1,157
358,3,MTH,D,14,N,1,140
359,3,Vida,D,14,N,1,135
360,3,MTH,F,14,N,1,17
361,3,Vida,F,14,N,1,41
362,3,MTH,H,14,N,1,111
363,3,Vida,H,14,N,1,193
364,3,Hiline,S,14,N,1,0
365,3,MTH,S,14,N,1,214
366,3,Vida,S,14,N,1,181
367,3,Hiline,C,12,Y,1,143
368,3,Hiline,D,12,Y,1,91
369,3,Hiline,F,12,Y,1,114
370,3,Hiline,H,12,Y,1,110
371,3,Hiline,S,12,Y,1,86
372,3,MTH,C,14,Y,1,71
373,3,Vida,C,14,Y,1,185
374,3,MTH,D,14,Y,1,84
375,3,Vida,F,14,Y,1,244
376,3,MTH,H,14,Y,1,89
377,3,Vida,H,14,Y,1,104
378,3,MTH,S,14,Y,1,142
379,3,Vida,S,14,Y,1,411
380,3,Hiline,C,12,N,2,77
381,3,Hiline,D,12,N,2,132
382,3,Hiline,F,12,N,2,90
383,3,Hiline,H,12,N,2,204
384,3,Hiline,S,12,N,2,122
385,3,MTH,C,14,N,2,47
386,3,MTH,D,14,N,2,187
387,3,Vida,D,14,N,2,157
388,3,MTH,F,14,N,2,149
389,3,Vida,F,14,N,2,207
390,3,MTH,H,14,N,2,50
391,3,Vida,H,14,N,2,108
392,3,MTH,S,14,N,2,14
393,3,Hiline,D,12,Y,2,65
394,3,Hiline,F,12,Y,2,47
395,3,Hiline,H,12,Y,2,93
396,3,Hiline,S,12,Y,2,69
397,3,MTH,C,14,Y,2,123
398,3,Vida,C,14,Y,2,96
399,3,MTH,D,14,Y,2,27
400,3,Vida,D,14,Y,2,142
401,3,MTH,F,14,Y,2,30
402,3,Vida,H,14,Y,2,24
403,3,MTH,S,14,Y,2,91
404,3,Hiline,C,12,N,3,41
405,3,Hiline,D,12,N,3,70
406,3,Hiline,H,12,N,3,222
407,3,Hiline,S,12,N,3,100
408,3,MTH,C,14,N,3,29
409,3,Vida,C,14,N,3,170
410,3,Vida,D,14,N,3,139
411,3,MTH,H,14,N,3,145
412,3,Vida,H,14,N,3,141
413,3,MTH,S,14,N,3,41
414,3,Hiline,C,12,Y,3,91
415,3,Hiline,D,12,Y,3,182
416,3,Hiline,F,12,Y,3,46
417,3,Hiline,H,12,Y,3,72
418,3,Hiline,S,12,Y,3,83
419,3,MTH,C,14,Y,3,128
420,3,Vida,C,14,Y,3,260
421,3,MTH,D,14,Y,3,28
422,3,Vida,D,14,Y,3,198
423,3,MTH,F,14,Y,3,28
424,3,MTH,H,14,Y,3,179
425,3,Vida,H,14,Y,3,113
426,3,MTH,S,14,Y,3,94
427,3,Vida,S,14,Y,3,80
428,3,Hiline,C,12,N,4,100
429,3,Hiline,D,12,N,4,62
430,3,Hiline,F,12,N,4,111
431,3,Hiline,H,12,N,4,50
432,3,Hiline,S,12,N,4,122
433,3,MTH,C,14,N,4,232
434,3,Vida,C,14,N,4,152
435,3,MTH,D,14,N,4,61
436,3,Vida,D,14,N,4,180
437,3,MTH,F,14,N,4,172
438,3,Vida,F,14,N,4,179
439,3,MTH,H,14,N,4,22
440,3,Vida,H,14,N,4,133
441,3,MTH,S,14,N,4,70
442,3,Vida,S,14,N,4,34
443,3,Hiline,C,12,Y,4,126
444,3,Hiline,D,12,Y,4,158
445,3,Hiline,F,12,Y,4,74
446,3,Hiline,H,12,Y,4,142
447,3,MTH,C,14,Y,4,74
448,3,Vida,C,14,Y,4,301
449,3,MTH,D,14,Y,4,85
450,3,Vida,D,14,Y,4,178
451,3,MTH,F,14,Y,4,69
452,3,Vida,F,14,Y,4,190
453,3,MTH,H,14,Y,4,37
454,3,Vida,H,14,Y,4,48
455,3,MTH,S,14,Y,4,112
456,3,Vida,S,14,Y,4,183
457,3,Hiline,C,12,N,5,77
458,3,Hiline,D,12,N,5,104
459,3,Hiline,F,12,N,5,258
460,3,Hiline,H,12,N,5,67
461,3,Hiline,S,12,N,5,287
462,3,Vida,C,14,N,5,100
463,3,MTH,D,14,N,5,179
464,3,MTH,F,14,N,5,183
465,3,Vida,F,14,N,5,173
466,3,MTH,H,14,N,5,88
467,3,Vida,H,14,N,5,185
468,3,MTH,S,14,N,5,41
469,3,Vida,S,14,N,5,416
470,3,Hiline,C,12,Y,5,195
471,3,Hiline,F,12,Y,5,51
472,3,Hiline,S,12,Y,5,149
473,3,MTH,C,14,Y,5,134
474,3,Vida,C,14,Y,5,41
475,3,MTH,D,14,Y,5,106
476,3,Vida,D,14,Y,5,148
477,3,MTH,F,14,Y,5,50
478,3,Vida,F,14,Y,5,181
479,3,MTH,H,14,Y,5,188
480,3,Vida,H,14,Y,5,60
481,3,MTH,S,14,Y,5,156
482,3,Vida,S,14,Y,5,134
